date,state,fips,cases,deaths,daily_cases,daily_deaths,year_month,year,code
2020-01-21,Washington,53,1,0,1,0,2020-01,2020,WA
2020-01-22,Washington,53,1,0,0,0,2020-01,2020,WA
2020-01-23,Washington,53,1,0,0,0,2020-01,2020,WA
2020-01-24,Washington,53,1,0,0,0,2020-01,2020,WA
2020-01-25,Washington,53,1,0,0,0,2020-01,2020,WA
2020-01-26,Washington,53,1,0,0,0,2020-01,2020,WA
2020-01-27,Washington,53,1,0,0,0,2020-01,2020,WA
2020-01-28,Washington,53,1,0,0,0,2020-01,2020,WA
2020-01-29,Washington,53,1,0,0,0,2020-01,2020,WA
2020-01-30,Washington,53,1,0,0,0,2020-01,2020,WA
2020-01-31,Washington,53,1,0,0,0,2020-01,2020,WA
2020-02-01,Washington,53,1,0,0,0,2020-02,2020,WA
2020-02-02,Washington,53,1,0,0,0,2020-02,2020,WA
2020-02-03,Washington,53,1,0,0,0,2020-02,2020,WA
2020-02-04,Washington,53,1,0,0,0,2020-02,2020,WA
2020-02-05,Washington,53,1,0,0,0,2020-02,2020,WA
2020-02-06,Washington,53,1,0,0,0,2020-02,2020,WA
2020-02-07,Washington,53,1,0,0,0,2020-02,2020,WA
2020-02-08,Washington,53,1,0,0,0,2020-02,2020,WA
2020-02-09,Washington,53,1,0,0,0,2020-02,2020,WA
2020-02-10,Washington,53,1,0,0,0,2020-02,2020,WA
2020-02-11,Washington,53,1,0,0,0,2020-02,2020,WA
2020-02-12,Washington,53,1,0,0,0,2020-02,2020,WA
2020-02-13,Washington,53,1,0,0,0,2020-02,2020,WA
2020-02-14,Washington,53,1,0,0,0,2020-02,2020,WA
2020-02-15,Washington,53,1,0,0,0,2020-02,2020,WA
2020-02-16,Washington,53,1,0,0,0,2020-02,2020,WA
2020-02-17,Washington,53,1,0,0,0,2020-02,2020,WA
2020-02-18,Washington,53,1,0,0,0,2020-02,2020,WA
2020-02-19,Washington,53,1,0,0,0,2020-02,2020,WA
2020-02-20,Washington,53,1,0,0,0,2020-02,2020,WA
2020-02-21,Washington,53,1,0,0,0,2020-02,2020,WA
2020-02-22,Washington,53,1,0,0,0,2020-02,2020,WA
2020-02-23,Washington,53,1,0,0,0,2020-02,2020,WA
2020-02-24,Washington,53,5,0,4,0,2020-02,2020,WA
2020-02-25,Washington,53,5,0,0,0,2020-02,2020,WA
2020-02-26,Washington,53,5,0,0,0,2020-02,2020,WA
2020-02-27,Washington,53,5,0,0,0,2020-02,2020,WA
2020-02-28,Washington,53,7,0,2,0,2020-02,2020,WA
2020-02-29,Washington,53,10,1,3,1,2020-02,2020,WA
2020-03-01,Washington,53,17,3,7,2,2020-03,2020,WA
2020-03-02,Washington,53,23,6,6,3,2020-03,2020,WA
2020-03-03,Washington,53,32,10,9,4,2020-03,2020,WA
2020-03-04,Washington,53,47,11,15,1,2020-03,2020,WA
2020-03-05,Washington,53,75,11,28,0,2020-03,2020,WA
2020-03-06,Washington,53,86,12,11,1,2020-03,2020,WA
2020-03-07,Washington,53,110,16,24,4,2020-03,2020,WA
2020-03-08,Washington,53,141,19,31,3,2020-03,2020,WA
2020-03-09,Washington,53,179,22,38,3,2020-03,2020,WA
2020-03-10,Washington,53,279,24,100,2,2020-03,2020,WA
2020-03-11,Washington,53,338,29,59,5,2020-03,2020,WA
2020-03-12,Washington,53,419,32,81,3,2020-03,2020,WA
2020-03-13,Washington,53,511,37,92,5,2020-03,2020,WA
2020-03-14,Washington,53,609,40,98,3,2020-03,2020,WA
2020-03-15,Washington,53,675,42,66,2,2020-03,2020,WA
2020-03-16,Washington,53,794,48,119,6,2020-03,2020,WA
2020-03-17,Washington,53,908,54,114,6,2020-03,2020,WA
2020-03-18,Washington,53,1026,68,118,14,2020-03,2020,WA
2020-03-19,Washington,53,1228,75,202,7,2020-03,2020,WA
2020-03-20,Washington,53,1404,83,176,8,2020-03,2020,WA
2020-03-21,Washington,53,1655,95,251,12,2020-03,2020,WA
2020-03-22,Washington,53,1844,97,189,2,2020-03,2020,WA
2020-03-23,Washington,53,2101,110,257,13,2020-03,2020,WA
2020-03-24,Washington,53,2469,123,368,13,2020-03,2020,WA
2020-03-25,Washington,53,2585,130,116,7,2020-03,2020,WA
2020-03-26,Washington,53,3208,152,623,22,2020-03,2020,WA
2020-03-27,Washington,53,3770,179,562,27,2020-03,2020,WA
2020-03-28,Washington,53,4311,193,541,14,2020-03,2020,WA
2020-03-29,Washington,53,4897,209,586,16,2020-03,2020,WA
2020-03-30,Washington,53,5180,221,283,12,2020-03,2020,WA
2020-03-31,Washington,53,5293,226,113,5,2020-03,2020,WA
2020-04-01,Washington,53,5589,250,296,24,2020-04,2020,WA
2020-04-02,Washington,53,6586,272,997,22,2020-04,2020,WA
2020-04-03,Washington,53,6967,293,381,21,2020-04,2020,WA
2020-04-04,Washington,53,7499,318,532,25,2020-04,2020,WA
2020-04-05,Washington,53,7985,344,486,26,2020-04,2020,WA
2020-04-06,Washington,53,8385,383,400,39,2020-04,2020,WA
2020-04-07,Washington,53,8683,409,298,26,2020-04,2020,WA
2020-04-08,Washington,53,9098,430,415,21,2020-04,2020,WA
2020-04-09,Washington,53,9609,456,511,26,2020-04,2020,WA
2020-04-10,Washington,53,9888,483,279,27,2020-04,2020,WA
2020-04-11,Washington,53,10227,498,339,15,2020-04,2020,WA
2020-04-12,Washington,53,10414,511,187,13,2020-04,2020,WA
2020-04-13,Washington,53,10547,525,133,14,2020-04,2020,WA
2020-04-14,Washington,53,10711,552,164,27,2020-04,2020,WA
2020-04-15,Washington,53,10806,572,95,20,2020-04,2020,WA
2020-04-16,Washington,53,11180,588,374,16,2020-04,2020,WA
2020-04-17,Washington,53,11479,610,299,22,2020-04,2020,WA
2020-04-18,Washington,53,11850,629,371,19,2020-04,2020,WA
2020-04-19,Washington,53,11864,637,14,8,2020-04,2020,WA
2020-04-20,Washington,53,12255,661,391,24,2020-04,2020,WA
2020-04-21,Washington,53,12410,683,155,22,2020-04,2020,WA
2020-04-22,Washington,53,12606,696,196,13,2020-04,2020,WA
2020-04-23,Washington,53,12981,717,375,21,2020-04,2020,WA
2020-04-24,Washington,53,13197,731,216,14,2020-04,2020,WA
2020-04-25,Washington,53,13565,743,368,12,2020-04,2020,WA
2020-04-26,Washington,53,13744,757,179,14,2020-04,2020,WA
2020-04-27,Washington,53,13958,771,214,14,2020-04,2020,WA
2020-04-28,Washington,53,14165,792,207,21,2020-04,2020,WA
2020-04-29,Washington,53,14490,805,325,13,2020-04,2020,WA
2020-04-30,Washington,53,14814,822,324,17,2020-04,2020,WA
2020-05-01,Washington,53,15134,829,320,7,2020-05,2020,WA
2020-05-02,Washington,53,15383,833,249,4,2020-05,2020,WA
2020-05-03,Washington,53,15943,840,560,7,2020-05,2020,WA
2020-05-04,Washington,53,16047,846,104,6,2020-05,2020,WA
2020-05-05,Washington,53,16234,863,187,17,2020-05,2020,WA
2020-05-06,Washington,53,16873,881,639,18,2020-05,2020,WA
2020-05-07,Washington,53,17187,903,314,22,2020-05,2020,WA
2020-05-08,Washington,53,17477,915,290,12,2020-05,2020,WA
2020-05-09,Washington,53,17629,925,152,10,2020-05,2020,WA
2020-05-10,Washington,53,17781,939,152,14,2020-05,2020,WA
2020-05-11,Washington,53,18172,957,391,18,2020-05,2020,WA
2020-05-12,Washington,53,18382,972,210,15,2020-05,2020,WA
2020-05-13,Washington,53,18492,977,110,5,2020-05,2020,WA
2020-05-14,Washington,53,18861,991,369,14,2020-05,2020,WA
2020-05-15,Washington,53,19131,1008,270,17,2020-05,2020,WA
2020-05-16,Washington,53,19336,1015,205,7,2020-05,2020,WA
2020-05-17,Washington,53,19514,1016,178,1,2020-05,2020,WA
2020-05-18,Washington,53,19756,1020,242,4,2020-05,2020,WA
2020-05-19,Washington,53,19988,1042,232,22,2020-05,2020,WA
2020-05-20,Washington,53,20110,1045,122,3,2020-05,2020,WA
2020-05-21,Washington,53,20280,1054,170,9,2020-05,2020,WA
2020-05-22,Washington,53,20526,1061,246,7,2020-05,2020,WA
2020-05-23,Washington,53,20740,1062,214,1,2020-05,2020,WA
2020-05-24,Washington,53,20989,1069,249,7,2020-05,2020,WA
2020-05-25,Washington,53,21265,1076,276,7,2020-05,2020,WA
2020-05-26,Washington,53,21538,1091,273,15,2020-05,2020,WA
2020-05-27,Washington,53,21825,1106,287,15,2020-05,2020,WA
2020-05-28,Washington,53,22091,1116,266,10,2020-05,2020,WA
2020-05-29,Washington,53,22377,1120,286,4,2020-05,2020,WA
2020-05-30,Washington,53,22618,1126,241,6,2020-05,2020,WA
2020-05-31,Washington,53,22814,1126,196,0,2020-05,2020,WA
2020-06-01,Washington,53,23272,1133,458,7,2020-06,2020,WA
2020-06-02,Washington,53,23608,1139,336,6,2020-06,2020,WA
2020-06-03,Washington,53,23776,1145,168,6,2020-06,2020,WA
2020-06-04,Washington,53,23999,1150,223,5,2020-06,2020,WA
2020-06-05,Washington,53,24546,1160,547,10,2020-06,2020,WA
2020-06-06,Washington,53,24767,1163,221,3,2020-06,2020,WA
2020-06-07,Washington,53,25064,1163,297,0,2020-06,2020,WA
2020-06-08,Washington,53,25593,1168,529,5,2020-06,2020,WA
2020-06-09,Washington,53,25796,1181,203,13,2020-06,2020,WA
2020-06-10,Washington,53,25940,1183,144,2,2020-06,2020,WA
2020-06-11,Washington,53,26172,1198,232,15,2020-06,2020,WA
2020-06-12,Washington,53,26576,1207,404,9,2020-06,2020,WA
2020-06-13,Washington,53,26920,1216,344,9,2020-06,2020,WA
2020-06-14,Washington,53,27135,1220,215,4,2020-06,2020,WA
2020-06-15,Washington,53,27577,1223,442,3,2020-06,2020,WA
2020-06-16,Washington,53,27949,1234,372,11,2020-06,2020,WA
2020-06-17,Washington,53,28270,1229,321,5,2020-06,2020,WA
2020-06-18,Washington,53,28663,1246,393,17,2020-06,2020,WA
2020-06-19,Washington,53,29045,1258,382,12,2020-06,2020,WA
2020-06-20,Washington,53,29466,1268,421,10,2020-06,2020,WA
2020-06-21,Washington,53,29797,1271,331,3,2020-06,2020,WA
2020-06-22,Washington,53,30443,1277,646,6,2020-06,2020,WA
2020-06-23,Washington,53,30778,1285,335,8,2020-06,2020,WA
2020-06-24,Washington,53,31400,1294,622,9,2020-06,2020,WA
2020-06-25,Washington,53,31998,1301,598,7,2020-06,2020,WA
2020-06-26,Washington,53,32489,1305,491,4,2020-06,2020,WA
2020-06-27,Washington,53,33031,1311,542,6,2020-06,2020,WA
2020-06-28,Washington,53,33341,1311,310,0,2020-06,2020,WA
2020-06-29,Washington,53,34036,1321,695,10,2020-06,2020,WA
2020-06-30,Washington,53,34541,1333,505,12,2020-06,2020,WA
2020-07-01,Washington,53,35258,1340,717,7,2020-07,2020,WA
2020-07-02,Washington,53,35921,1343,663,3,2020-07,2020,WA
2020-07-03,Washington,53,36417,1353,496,10,2020-07,2020,WA
2020-07-04,Washington,53,36799,1355,382,2,2020-07,2020,WA
2020-07-05,Washington,53,37468,1360,669,5,2020-07,2020,WA
2020-07-06,Washington,53,38517,1370,1049,10,2020-07,2020,WA
2020-07-07,Washington,53,39063,1385,546,15,2020-07,2020,WA
2020-07-08,Washington,53,39661,1395,598,10,2020-07,2020,WA
2020-07-09,Washington,53,40369,1410,708,15,2020-07,2020,WA
