state,year,daily_cases,daily_deaths,population,case_rate,death_rate,state code,region,division
Alabama,2020,361226,4877,4903185,0.07367170522833627,0.000994659593713066,AL,South,East South Central
Alabama,2021,477610,11113,4903185,0.09740811329778501,0.002266485967794403,AL,South,East South Central
Alaska,2020,46750,200,731545,0.06390584311286387,0.0002733939812315032,AK,West,Pacific
Alaska,2021,97472,615,731545,0.1332412906929854,0.0008406864922868723,AK,West,Pacific
Arizona,2020,524053,8887,7278717,0.07199799085470696,0.0012209569351301884,AZ,West,Mountain
Arizona,2021,683519,12819,7278717,0.09390652226209646,0.0017611620289674677,AZ,West,Mountain
Arkansas,2020,225938,3678,3017804,0.07486834797753598,0.001218767023968422,AR,South,West South Central
Arkansas,2021,293725,5238,3017804,0.09733070802477563,0.0017356992037918964,AR,South,West South Central
California,2020,2307860,25975,39512223,0.0584087612585098,0.0006573915114824088,CA,West,Pacific
California,2021,2692340,49056,39512223,0.06813942105965538,0.0012415398647653917,CA,West,Pacific
Colorado,2020,335579,4889,5758736,0.05827303074841424,0.0008489710241969766,CO,West,Mountain
Colorado,2021,450901,3939,5758736,0.0782986058051628,0.0006840042676031685,CO,West,Mountain
Connecticut,2020,185762,5995,3565287,0.05210295833126478,0.0016814915601464904,CT,Northeast,New England
Connecticut,2021,222042,2840,3565287,0.06227885721401952,0.0007965698133137669,CT,Northeast,New England
Delaware,2020,57542,928,973764,0.059092346810931604,0.0009530029863498754,DE,South,South Atlantic
Delaware,2021,89783,1199,973764,0.09220201198647722,0.0012313045049929963,DE,South,South Atlantic
District of Columbia,2020,28983,786,705749,0.04106700824230711,0.0011137103984561083,DC,South,South Atlantic
District of Columbia,2021,36412,408,705749,0.05159341352237127,0.0005781092144657662,DC,South,South Atlantic
Florida,2020,1323307,21672,21477737,0.06161296229672614,0.0010090448542134584,FL,South,South Atlantic
Florida,2021,2425824,39025,21477737,0.11294597750219215,0.0018169977591214568,FL,South,South Atlantic
Georgia,2020,644381,10588,10617423,0.06069090399807938,0.0009972288002465383,GA,South,South Atlantic
Georgia,2021,968611,18198,10617423,0.09122844592327159,0.00171397522732211,GA,South,South Atlantic
Hawaii,2020,21469,290,1415872,0.015163093838991096,0.0002048207747593003,HI,West,Pacific
Hawaii,2021,61377,687,1415872,0.043349257560005426,0.0004852133526194458,HI,West,Pacific
Idaho,2020,141392,1440,1787065,0.07911967387867817,0.0008057905000657502,ID,West,Mountain
